"Substance","NUTS 2","NUTS 2 desc","Sector","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022"
"GWP_100_AR5_GHG","ITC2","Valle d’Aosta/Vallée d’Aoste","Waste","57.367154878287","60.15422601015","56.237957423536","55.951908918124","57.954870214269","59.863080278486","62.074752559697","64.134020626634","63.664634477887","64.570354432015","67.909378977688","66.660944671207","64.753024397203","61.382401334714","57.083157915809","56.749164787979","53.903008184431","52.107165849226","49.705064394744","49.782020520854","51.973959740275","50.890004133032","51.727843064686","53.499363798252","43.509127885924","45.421430251775","38.242632255091","42.131459543446","38.879766064296","37.069224387075","33.813174945217","32.07641571698","30.356573452307"
"GWP_100_AR5_GHG","ITC3","Liguria","Agriculture","115.86143542584","116.78942942773","113.49170099232","113.15314224785","114.49167324972","109.31584962218","114.08393171191","110.48624294733","111.86680885075","111.56627669964","109.92490079308","100.57133985798","104.245989381","100.45527511994","96.641025313906","93.142339388873","92.674644698792","93.848754054915","90.137726181815","90.213568662886","98.212254173597","89.231821112262","90.504806272553","92.319553961089","88.659037543286","88.963196103061","90.942932263964","91.137961606442","91.062849526944","91.717162330131","93.426046686993","94.519257468369","90.896615229221"
"GWP_100_AR5_GHG","ITC3","Liguria","Buildings","1856.1106035259","1993.5188392653","1889.8374973998","1872.0845496655","1692.8788360142","1842.8704032313","1888.9647428114","1817.416493351","1859.7427720846","1958.5207019882","1858.943865782","1952.6418716582","1885.2087994726","2008.4707913555","2012.3774085273","2168.704421248","2044.8285553232","1958.9743648702","2056.3271929064","2055.4560841209","2124.5994099256","1880.5350215058","1926.51799272","1880.2500199035","1597.1942138273","1736.0054166814","1746.4279117405","1746.0652803517","1715.2380184966","1650.0508299661","1604.0819063048","1722.4020058831","1626.113578966"
"GWP_100_AR5_GHG","ITC3","Liguria","Energy","10424.909057216","8343.4661628912","4958.7491393323","3537.4984914995","4086.8110434997","4898.6778338663","4500.6208248752","4232.926054333","4624.5242869845","4810.5944014908","9123.0675717877","9649.3037134696","10190.538478555","10189.028551975","11468.878525658","10856.647188868","10615.962897958","12627.291123902","12110.503750626","10493.041549636","9304.6275820153","9943.1462420137","10322.69780475","9361.3280900538","8864.8862395819","8515.1726881454","7567.109775052","4463.1187805625","3556.65718406","3138.7811413056","2709.2656614231","3010.1187797196","2117.712158937"
"GWP_100_AR5_GHG","ITC3","Liguria","Industry","1734.0974916772","1663.4181348397","1500.0871132128","1402.5976368676","1367.9300029177","1412.6802622299","1365.9990016032","1432.16424253","1381.2052896607","1389.4671843114","1539.2689414721","1269.250865068","1336.385116977","1244.8290734914","1042.0944768161","1053.9702782247","1149.9495569394","1169.7213742261","1145.0174234282","915.34856313057","946.69463959812","920.31804000696","930.14414452867","823.29958848953","886.20484484515","843.18618603875","810.71545912735","921.70091117764","894.26285668678","854.77030032224","771.77849130331","800.84581762057","786.7292050843"
"GWP_100_AR5_GHG","ITC3","Liguria","Transport","3050.5310260489","3097.8551646766","3254.5042532918","3309.1556601306","3292.360599619","3356.3155295769","3363.3254165166","3409.9366450599","3523.8950909276","3545.7448820142","3541.8297700497","3608.1371218484","3680.0395850981","3695.4284083931","3770.1513969794","3734.5725041819","3775.3398115151","3793.9869784677","3566.4393639394","3397.4198015485","3315.0938629778","3323.0063026373","3120.5217215907","3052.6144788419","3198.0729527681","3114.4727658238","3071.8258387608","2943.194702768","3041.1055358765","3064.9590618566","2480.0530938188","2759.290667401","2887.8849807976"
"GWP_100_AR5_GHG","ITC3","Liguria","Waste","1055.3686851912","1107.6048394118","1035.2672526676","1010.9717140825","1046.7366193406","1082.2507311885","1123.6634148543","1160.8661290755","1135.5941911544","1152.2743109838","1212.6749997189","1191.0770122663","1156.9236039267","1094.28409841","1017.3298057647","1012.0142806449","960.03030454785","927.708908588","883.80006581481","896.38477829625","709.31596962709","308.38786886985","535.5563575637","344.22381836076","277.36200600698","442.11548926132","420.92217026668","179.54360256751","167.15721393631","160.0205697553","146.75738760281","140.91036148819","134.32431373073"
"GWP_100_AR5_GHG","ITC4","Lombardia","Agriculture","10729.007587016","10144.430502874","9992.3023196155","9625.4736781964","9504.2052670889","9271.6380159069","9574.5600131228","9292.3945390796","9334.135562247","9320.2111712774","9320.3721082251","8509.1739722443","8909.7854508285","8770.8961863535","8734.5817397443","8495.0112175917","8429.4459290814","8442.4486260496","8634.1161336288","8679.6330476566","8651.0133373181","8915.9421933571","8847.4913802888","8297.5461369085","8112.0735228843","6398.7194518485","10135.032275279","10612.852799451","11021.40325801","10997.542550751","11081.749819465","11205.129687238","11316.932230798"
"GWP_100_AR5_GHG","ITC4","Lombardia","Buildings","11278.20332775","12139.468174679","11476.748076231","11579.725687208","10242.078503357","11371.148445655","11682.112051993","11138.376490823","11867.797249927","12557.799903074","11918.421962583","12494.425751934","11885.419416465","12906.596788822","13104.641580146","13894.693136329","13069.336086505","12106.5145428","12999.02236831","13144.960898716","13742.572232219","12297.137806398","12420.575364653","12622.549966747","10634.030589143","11577.756524287","11719.247104509","11613.716456066","11905.948301293","11428.419313981","11133.500583443","12142.617561391","11143.611719285"
"GWP_100_AR5_GHG","ITC4","Lombardia","Energy","23254.205598872","22394.308496363","22684.301705772","22715.882663129","22144.342348774","23449.083983188","22523.483169418","20699.892838069","20256.19105312","18905.558824074","17732.502084891","15878.073304002","15921.789169263","22087.704325246","26379.125456156","29968.390339924","27881.262379719","26468.351563356","25236.626471914","20349.992094453","20312.918999082","19786.419474173","17763.521913755","14595.667326109","13311.511679861","14131.669017458","15538.306798007","16404.000268533","15315.712823127","16092.985197695","15065.637042813","15815.730929613","16555.858567881"
