"year","region","production_gwh"
"2011","Sardegna","14275.691898"
"2017","Calabria","18256.536847"
"2006","Molise","3016.014114"
"2006","Liguria","11423.138185"
"2013","Lombardia","43276.560612"
"2007","Veneto","18715.14883259"
"2010","Liguria","12020.803985"
"2012","Sardegna","14535.266074000001"
"2012","Puglia","39652.490319000004"
"2012","Basilicata","2201.86501"
"2015","Campania","10413.0424878"
"2022","Liguria","3714.8221845000003"
"2008","Piemonte","24884.08860104"
"2020","Calabria","16679.687414"
"2009","Molise","4525.107584339999"
"2019","Sardegna","13630.642519"
"2013","Calabria","10702.003856"
"2007","Abruzzo","4386.07435473"
"2011","Campania","10795.075676"
"2013","Puglia","37381.678213700005"
"2017","Sicilia","18095.016315"
"2014","Basilicata","2152.729054"
"2013","Piemonte","26269.36402447"
"2021","Calabria","15766.611260900001"
"2010","Puglia","36857.603317999994"
"2019","Liguria","3864.7761040000005"
"2006","Emilia-Romagna","25094.851763"
"2009","Calabria","11137.96019574"
"2014","Umbria","3168.0563410000004"
"2014","Calabria","9656.336635"
"2012","Piemonte","25580.650847999997"
"2018","Toscana","16128.919142199999"
"2019","Lombardia","49800.897375"
"2012","Lazio","21223.483721"
"2018","Emilia-Romagna","22016.126726950002"
"2005","Lombardia","57024.970271"
"2014","Lazio","20256.293234999997"
"2018","Veneto","17603.9130507"
"2009","Campania","11373.715529500001"
"2022","Abruzzo","5537.426526"
"2017","Lombardia","46708.218922"
"2017","Veneto","16432.045204000002"
"2018","Umbria","3260.81291738"
"2009","Umbria","4325.004347"
"2005","Basilicata","1690.544708"
"2021","Trentino-Alto Adige","11871.138179"
"2011","Umbria","3952.9024819999995"
"2022","Basilicata","4267.601548"
"2014","Marche","2349.309788"
"2017","Marche","3356.9625210000004"
"2016","Abruzzo","4912.180727999999"
"2016","Piemonte","26201.813499"
"2015","Umbria","2477.6775079999998"
"2015","Sardegna","12465.406055"
"2019","Campania","12532.996447000001"
"2012","Valle d'Aosta","3092.510691"
"2021","Piemonte","30019.884321200003"
"2017","Piemonte","29798.735549999998"
"2022","Lombardia","50399.89141787"
"2019","Lazio","14678.336393999998"
"2011","Liguria","11366.416092000001"
"2011","Marche","3692.356325"
"2014","Sicilia","22536.053866000002"
"2011","Trentino-Alto Adige","11092.601251"
"2016","Trentino-Alto Adige","10834.942114"
"2016","Lazio","20735.596039999997"
"2021","Sardegna","12505.654774999999"
"2017","Trentino-Alto Adige","9440.102363"
"2007","Piemonte","21426.19540154"
"2010","Sicilia","24308.546356000003"
"2020","Sicilia","16122.555103"
"2013","Sardegna","14364.769346000003"
"2020","Basilicata","3788.3324890000004"
"2022","Emilia-Romagna","25950.833700260002"
"2021","Molise","2902.0135039999996"
"2017","Valle d'Aosta","2843.893575"
"2020","Piemonte","29478.056897869996"
"2019","Veneto","15927.768625"
"2005","Sardegna","14525.515639000001"
"2016","Puglia","35278.330202"
"2007","Toscana","20121.80412093"
"2011","Molise","3155.006801"
"2020","Campania","11743.3252538"
"2010","Emilia-Romagna","25966.417961"
"2018","Lazio","18976.544249850005"
"2010","Abruzzo","6292.3918140000005"
"2019","Abruzzo","6326.559343"
"2007","Trentino-Alto Adige","7639.53853345"
"2009","Friuli-Venezia Giulia","10427.9087832"
"2017","Puglia","33153.256331"
"2022","Toscana","16016.748972000001"
"2020","Marche","2251.32297419"
"2007","Calabria","9346.02243273"
"2006","Marche","3960.911572"
"2016","Sicilia","20628.324189"
"2008","Valle d'Aosta","2849.4669611500003"
"2021","Valle d'Aosta","2997.3752575"
"2007","Marche","3821.97129776"
"2022","Sicilia","19908.012774"
"2015","Lazio","19467.02980691"
"2015","Puglia","38432.431745760005"
"2019","Basilicata","4043.9228110000004"
"2019","Trentino-Alto Adige","12074.117440000002"
"2012","Calabria","11236.094846"
"2019","Umbria","3701.8659279999997"
