"year","region","emissions_ktco2eq"
"2018","Piemonte","7598.7756293449"
"2018","Puglia","13166.15171048"
"2018","Sardegna","4690.5704940947"
"2018","Sicilia","5538.2058835794"
"2018","Toscana","4575.7630129425"
"2018","Trentino-Alto Adige","599.0563743461801"
"2018","Umbria","1549.5163344331"
"2018","Veneto","9698.895058521"
"2019","Abruzzo","2153.1833443425"
"2019","Basilicata","604.7049891624"
"2019","Calabria","5605.4774058882"
"2019","Campania","2686.2025931609"
"2019","Emilia-Romagna","7725.8155911046"
"2019","Friuli-Venezia Giulia","2188.729241915"
"2019","Lazio","12338.809439883"
"2019","Liguria","3138.7811413056"
"2019","Lombardia","16092.985197695"
"2019","Marche","450.20158559638"
"2019","Molise","1517.0578324502"
"2019","Piemonte","8022.3205343897"
"2019","Puglia","10278.229914617"
"2019","Sardegna","3413.5762209497"
"2019","Sicilia","5724.5363106603"
"2019","Toscana","4471.686545638"
"2019","Trentino-Alto Adige","595.71100013181"
"2019","Umbria","1451.0112564247"
"2019","Veneto","8478.1587072805"
"2020","Abruzzo","2013.5290006568"
"2020","Basilicata","536.22695788825"
"2020","Calabria","5300.7941387315"
"2020","Campania","2511.0663416529"
"2020","Emilia-Romagna","7211.7970062532"
"2020","Friuli-Venezia Giulia","1904.5796900241"
"2020","Lazio","10774.573524576"
"2020","Liguria","2709.2656614231"
"2020","Lombardia","15065.637042813"
"2020","Marche","408.57968732769"
"2020","Molise","1428.4652885964"
"2020","Piemonte","7420.287378248"
"2020","Puglia","8302.4897045921"
"2020","Sardegna","2669.3355901076"
"2020","Sicilia","5386.8437845106"
"2020","Toscana","4198.247643517"
"2020","Trentino-Alto Adige","530.14283180238"
"2020","Umbria","1276.1123269473"
"2020","Veneto","7445.6762993387"
"2021","Abruzzo","2169.9074764957"
"2021","Basilicata","566.89209703512"
"2021","Calabria","5703.2240783389"
"2021","Campania","2705.743762166"
"2021","Emilia-Romagna","7767.0418852583"
"2021","Friuli-Venezia Giulia","2097.2643302701"
"2021","Lazio","11902.933879314"
"2021","Liguria","3010.1187797196"
"2021","Lombardia","15815.730929613"
"2021","Marche","435.64952722271"
"2021","Molise","1543.0845599769"
"2021","Piemonte","7965.9097617551"
"2021","Puglia","8264.0222777943"
"2021","Sardegna","3026.6723230568"
"2021","Sicilia","5786.048308786"
"2021","Toscana","4468.6946424289"
"2021","Trentino-Alto Adige","561.20860461958"
"2021","Umbria","1127.3649238143"
"2021","Veneto","8058.8969808271"
"2022","Abruzzo","2327.4577535503"
"2022","Basilicata","593.06618284821"
"2022","Calabria","5853.1958251526"
"2022","Campania","2901.7330473143"
"2022","Emilia-Romagna","8324.3616850165"
"2022","Friuli-Venezia Giulia","2351.8898850329"
"2022","Lazio","13408.183339409"
"2022","Liguria","2117.712158937"
"2022","Lombardia","16555.858567881"
"2022","Marche","460.91783053401"
"2022","Molise","1660.1444991838"
"2022","Piemonte","8440.477363697"
"2022","Puglia","9698.1545265092"
"2022","Sardegna","3498.0305856733"
"2022","Sicilia","5925.1572184653"
"2022","Toscana","4384.0283787365"
"2022","Trentino-Alto Adige","588.16172507393"
"2022","Umbria","1199.3501110912"
"2022","Veneto","7525.7590729168"
